cliente_id,nome,email,data_nascimento
1,João Silva,joao.silva@email.com,1985-02-20
2,Maria Oliveira,maria.oliveira@email.com,1990-06-15
3,Carlos Pereira,carlos.pereira@email.com,1978-10-30
4,Ana Souza,ana.souza@email.com,1992-03-12
5,Lucas Santos,lucas.santos@email.com,1987-05-18
6,Juliana Costa,juliana.costa@email.com,1995-11-24
7,Bruno Ferreira,bruno.ferreira@email.com,1980-09-07
8,Patrícia Mendes,patricia.mendes@email.com,1983-12-01
9,Fernando Lima,fernando.lima@email.com,1993-01-15
10,Carla Nunes,carla.nunes@email.com,1996-07-22
11,Marcelo Rocha,marcelo.rocha@email.com,1981-02-10
12,Renata Borges,renata.borges@email.com,1989-04-30
13,Rafael Almeida,rafael.almeida@email.com,1991-06-10
14,Paula Ribeiro,paula.ribeiro@email.com,1994-08-27
15,Gabriel Teixeira,gabriel.teixeira@email.com,1988-10-14
16,Beatriz Fonseca,beatriz.fonseca@email.com,1997-09-05
17,Fábio Martins,fabio.martins@email.com,1986-11-19
18,Isabela Cardoso,isabela.cardoso@email.com,1990-12-28
19,Ricardo Araujo,ricardo.araujo@email.com,1984-03-02
20,Mariana Barros,mariana.barros@email.com,1992-05-13
21,Gustavo Pires,gustavo.pires@email.com,1993-07-18
22,Camila Rezende,camila.rezende@email.com,1989-09-30
23,Leandro Farias,leandro.farias@email.com,1987-11-05
